Number,SMILES,AW_ST_CMC/ mN/m,ref,Type_of_surfactant,DOI_1,DOI_2
137,C(CC[N+](C)(C)CCCCCCCCCCCCCC)[N+](C)(C)CCCCCCCCCCCCCC.[Cl-].[Cl-],41.8,[37],cationic,10.1016/j.ces.2022.118208,
138,C(CC[N+](C)(C)CCCCCCCCCCCCCCCC)[N+](C)(C)CCCCCCCCCCCCCCCC.[Cl-].[Cl-],42,[37],cationic,10.1016/j.ces.2022.118208,
139,C(CC(O)C[N+](C)(C)CCCCCCCCCCCC)[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-],40.9,[37],cationic,10.1016/j.ces.2022.118208,
140,CCCCCCCCCCCC[N+](CC[N+](CCCCCCCCCCCC)CCCCCCCCCCCC)CCCCCCCCCCCC.[Br-].[Br-],33.9,[38],cationic,10.1016/j.ces.2022.118208,
141,CCCCCCCCCCCC[N+](CCC[N+](CCCCCCCCCCCC)CCCCCCCCCCCC)CCCCCCCCCCCC.[Br-].[Br-],32.9,[38],cationic,10.1016/j.ces.2022.118208,
142,CCCCCCCCCCCC[N+](CCCCCC[N+](CCCCCCCCCCCC)CCCCCCCCCCCC)CCCCCCCCCCCC.[Br-].[Br-],30.9,[38],cationic,10.1016/j.ces.2022.118208,
143,CCCCCCCCC[N+]CCO.[Br-],30,[39],cationic,10.1016/j.ces.2022.118208,
144,CCCCCCCCC[N+](CCO)CCO.[Br-],27.9,[39],cationic,10.1016/j.ces.2022.118208,
145,CCCCCCCCC[N+](CCO)(CCO)CCO.[Br-],24.1,[39],cationic,10.1016/j.ces.2022.118208,
146,CCCCCCCCC[N+]CCO.[I-],30.6,[39],cationic,10.1016/j.ces.2022.118208,
147,CCCCCCCCC[N+](CCO)CCO.[I-],28.8,[39],cationic,10.1016/j.ces.2022.118208,
148,CCCCCCCCC[N+](CCO)(CCO)CCO.[I-],28.4,[39],cationic,10.1016/j.ces.2022.118208,
149,CCCCCCCCCCCC[N+](CC(=O)OCCCOC(=O)C[N+](CCCCCCCCCCCC)(C)C)(C)C.[Cl-].[Cl-],47.9,[40],cationic,10.1016/j.ces.2022.118208,
150,CCCCCCCCCCCCCC[N+](CC(=O)OCCCOC(=O)C[N+](CCCCCCCCCCCCCC)(C)C)(C)C.[Cl-].[Cl-],45.5,[40],cationic,10.1016/j.ces.2022.118208,
151,CCCCCCCCCCCCCCCC[N+](CC(=O)OCCCOC(=O)C[N+](CCCCCCCCCCCCCCCC)(C)C)(C)C.[Cl-].[Cl-],43.2,[40],cationic,10.1016/j.ces.2022.118208,
152,CCCCCCCCCCCC[N+](CC(C[N+](CCCCCCCCCCCC)(C)C)OC(=O)C=C)(C)C.[Br-].[Br-],33.4,[41],cationic,10.1016/j.ces.2022.118208,
153,CCCCCCCCCCCCCC[N+](CC(C[N+](CCCCCCCCCCCCCC)(C)C)OC(=O)C=C)(C)C.[Br-].[Br-],31.3,[41],cationic,10.1016/j.ces.2022.118208,
154,CCCCCCCCCCCCCCCC[N+](CC(C[N+](CCCCCCCCCCCCCCCC)(C)C)OC(=O)C=C)(C)C.[Br-].[Br-],32.5,[41],cationic,10.1016/j.ces.2022.118208,
155,C(C[N+](CCCCCCCCCCCC)(C)C)OC(=O)C=C.[Br-],43.1,[41],cationic,10.1016/j.ces.2022.118208,
156,C(C[N+](CCCCCCCCCCCCCC)(C)C)OC(=O)C=C.[Br-],42.8,[41],cationic,10.1016/j.ces.2022.118208,
157,C(C[N+](CCCCCCCCCCCCCCCC)(C)C)OC(=O)C=C.[Br-],43.2,[41],cationic,10.1016/j.ces.2022.118208,
158,CCCCCCCCCCC(=O)OCC[N+](CC(O)C[N+](CCOC(=O)CCCCCCCCCC)(C)C)(C)C.[Cl-].[Cl-],30,[42],cationic,10.1016/j.ces.2022.118208,
159,CCCCCCCCCCCCC(=O)OCC[N+](CC(O)C[N+](CCOC(=O)CCCCCCCCCCCC)(C)C)(C)C.[Cl-].[Cl-],32,[42],cationic,10.1016/j.ces.2022.118208,
160,CCCCCCCCCCCCCCC(=O)OCC[N+](CC(O)C[N+](CCOC(=O)CCCCCCCCCCCCCC)(C)C)(C)C.[Cl-].[Cl-],30,[42],cationic,10.1016/j.ces.2022.118208,
161,CCCCCCCCCCC(=O)OCCCC[N+](CC(O)C[N+](CCCCOC(=O)CCCCCCCCCC)(C)C)(C)C.[Cl-].[Cl-],34,[42],cationic,10.1016/j.ces.2022.118208,
162,CCCCCCCCC(=O)OCCCCCC[N+](CC(O)C[N+](CCCCCCOC(=O)CCCCCCCC)(C)C)(C)C.[Cl-].[Cl-],34,[42],cationic,10.1016/j.ces.2022.118208,
163,CCCCCCCCCCCCC(=O)OCC[N+](C)(C)C.[Cl-],30,[42],cationic,10.1016/j.ces.2022.118208,
